1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
1091,898.0,3.0,Mn,932,GLQ,133,0.0,586,Fin,2002.0,1989,Gd,11367,90.0,210.0,60,5,8,1065,0.0,2002,2002,255000
988,517.0,3.0,No,399,Rec,484,0.0,240,Unf,1940.0,1505,TA,9144,66.0,0.0,0,5,5,883,0.0,1940,1982,145000
1040,0.0,3.0,Mn,532,LwQ,364,0.0,484,Unf,1977.0,1040,Gd,8800,61.0,0.0,0,7,5,1040,0.0,1977,2008,150500
1572,1096.0,3.0,Av,1016,GLQ,556,0.0,726,Fin,2003.0,2668,Ex,13688,110.0,664.0,0,5,9,1572,0.0,2003,2004,412500
2020,0.0,3.0,No,1436,GLQ,570,0.0,900,Fin,2009.0,2020,Ex,12220,94.0,305.0,54,5,10,2006,0.0,2009,2009,402861
1048,0.0,2.0,No,0,Unf,993,0.0,280,Unf,1922.0,1048,TA,6380,58.0,0.0,0,6,5,993,0.0,1922,1950,113000
896,896.0,4.0,No,0,Unf,896,0.0,0,None,1982.5,1792,TA,9000,60.0,0.0,45,5,5,896,0.0,1974,1974,136000
520,600.0,2.0,No,0,Unf,600,0.0,480,RFn,2005.0,1200,Gd,3180,30.0,0.0,166,5,7,600,0.0,2005,2005,144152
1383,0.0,3.0,No,565,Rec,818,0.0,292,Unf,1960.0,1383,TA,11600,80.0,175.0,45,5,6,1383,0.0,1960,1960,145250
1004,0.0,2.0,Gd,975,GLQ,0,0.0,504,Unf,1977.0,1004,TA,10530,78.0,90.0,0,5,6,975,0.0,1977,1977,135000
864,0.0,3.0,No,600,BLQ,264,0.0,576,Unf,1980.0,864,TA,12735,66.0,0.0,0,5,4,864,0.0,1972,1972,111250
1375,0.0,2.0,No,0,Unf,1367,0.0,451,Unf,1954.0,1375,TA,11310,75.0,0.0,30,5,6,1367,0.0,1954,1954,140000
1120,0.0,3.0,No,932,ALQ,108,0.0,544,RFn,1961.0,1120,Fa,6970,85.0,0.0,0,5,4,1040,0.0,1961,1961,129000
1226,592.0,4.0,No,224,LwQ,816,0.0,240,Unf,1951.0,1818,TA,7758,66.0,600.0,0,4,7,1040,0.0,1931,1950,169500
1114,0.0,3.0,No,646,GLQ,468,0.0,576,Unf,2004.0,1114,Gd,13695,66.0,0.0,102,5,5,1114,0.0,2004,2004,159000
1158,0.0,3.0,No,941,ALQ,217,0.0,576,Unf,2006.0,1158,Gd,13072,63.0,0.0,50,5,6,1158,0.0,2004,2004,158000
1728,0.0,6.0,No,40,GLQ,1424,0.0,352,Unf,2002.0,1728,TA,10624,66.0,84.0,0,4,5,1728,0.0,1964,1964,119000
864,0.0,3.0,Av,390,ALQ,474,0.0,352,Unf,1989.0,864,TA,7180,60.0,0.0,0,7,5,864,0.0,1972,1972,127000
981,787.0,3.0,No,569,ALQ,162,0.0,240,Unf,1939.0,1768,Gd,7200,60.0,252.0,0,7,5,731,0.0,1937,1950,175000
1836,0.0,3.0,No,24,GLQ,1836,0.0,484,Fin,2004.0,1836,Gd,9100,70.0,0.0,33,5,7,1860,0.0,2004,2005,216837
1094,0.0,3.0,Mn,500,Rec,594,0.0,495,Unf,1953.0,1094,TA,10452,85.0,216.0,0,5,6,1094,0.0,1953,1953,155000
720,0.0,2.0,No,495,Rec,225,0.0,0,None,1982.5,720,TA,7879,60.0,0.0,523,5,4,720,0.0,1920,1950,34900
1575,0.0,3.0,No,430,GLQ,1145,0.0,529,RFn,1992.0,1575,Gd,8012,50.0,0.0,0,5,6,1575,0.0,1992,1992,179200
672,728.0,3.0,No,209,ALQ,463,0.0,440,Fin,1978.0,1400,TA,7844,74.0,203.0,0,7,6,672,0.0,1978,1978,149500
979,871.0,3.0,No,595,GLQ,378,0.0,467,Fin,1994.0,1850,Gd,29959,66.0,0.0,98,6,7,973,0.0,1994,1994,248000
1116,0.0,3.0,No,0,Unf,1116,0.0,440,Unf,1962.0,1116,TA,10000,87.0,261.0,0,6,6,1116,0.0,1962,1962,160000
796,358.0,3.0,No,735,BLQ,61,0.0,240,Unf,1922.0,1154,Gd,5436,40.0,0.0,96,8,4,796,0.0,1922,2007,125500
1478,0.0,3.0,No,1270,BLQ,208,0.0,498,Unf,1960.0,1478,TA,17600,66.0,30.0,40,5,6,1478,0.0,1960,1960,157500
760,896.0,3.0,No,0,Unf,746,0.0,397,Fin,2003.0,1656,Gd,6931,60.0,92.0,128,5,7,746,0.0,2003,2004,165400
811,576.0,3.0,No,0,Unf,811,0.0,256,Unf,1954.0,1387,Gd,6000,50.0,0.0,0,4,5,811,0.0,1954,1954,93000
856,854.0,3.0,No,706,GLQ,150,0.0,548,RFn,2003.0,1710,Gd,8450,65.0,196.0,61,5,7,856,0.0,2003,2003,208500
1350,0.0,3.0,Gd,624,GLQ,288,0.0,520,RFn,1964.0,1350,TA,9020,82.0,259.0,0,5,6,1248,0.0,1964,1964,168500
742,742.0,3.0,No,0,Unf,742,0.0,390,Fin,2005.0,1484,Gd,12589,149.0,0.0,24,5,6,742,0.0,2005,2005,174000
1660,0.0,3.0,Mn,1220,GLQ,440,0.0,500,RFn,2006.0,1660,Gd,10182,85.0,420.0,50,5,8,1660,0.0,2006,2006,290000
334,0.0,1.0,None,0,None,0,0.0,0,None,1982.5,334,Fa,5000,50.0,0.0,0,3,1,0,0.0,1946,1950,39300
1040,0.0,2.0,None,0,Unf,0,0.0,420,Unf,1950.0,1040,TA,7200,60.0,0.0,29,5,4,0,0.0,1950,1950,109900
2392,0.0,3.0,Gd,56,GLQ,2336,0.0,968,Fin,2003.0,2392,Ex,13472,103.0,922.0,105,5,10,2392,0.0,2003,2003,386250
920,941.0,3.0,No,700,GLQ,216,0.0,492,RFn,2002.0,1861,Gd,13450,95.0,0.0,91,5,7,916,0.0,2002,2002,200000
1225,0.0,3.0,No,569,ALQ,381,0.0,0,None,1982.5,1225,TA,9320,77.0,0.0,0,5,4,950,0.0,1959,1959,128950
1124,0.0,3.0,None,0,Unf,0,190.0,0,None,1982.5,1124,TA,8335,77.0,0.0,36,5,5,0,0.0,1954,1954,93000
1166,1129.0,4.0,No,728,GLQ,367,0.0,590,RFn,1992.0,2295,Gd,13346,66.0,0.0,40,5,7,1095,0.0,1992,2000,268000
943,0.0,3.0,Gd,828,GLQ,115,0.0,472,Fin,1998.0,1638,TA,9042,59.0,0.0,38,5,6,943,0.0,1998,1998,192000
920,866.0,3.0,Mn,486,GLQ,434,0.0,608,RFn,2001.0,1786,Gd,11250,68.0,162.0,42,5,7,920,0.0,2001,2002,223500
691,807.0,3.0,No,592,ALQ,99,0.0,409,Fin,1995.0,1498,TA,13031,66.0,0.0,44,5,6,691,0.0,1995,1996,187500
1378,994.0,4.0,No,0,Unf,994,0.0,432,RFn,1985.0,2372,TA,6600,60.0,0.0,287,4,5,994,0.0,1892,1965,107500
910,0.0,4.0,No,507,Rec,403,0.0,720,Unf,2000.0,1385,TA,8520,71.0,0.0,0,4,5,910,0.0,1952,1952,166000
1184,1426.0,4.0,Av,64,GLQ,1120,0.0,550,Fin,2007.0,2610,Ex,9000,75.0,0.0,364,5,8,1184,0.0,2007,2007,303477
1405,0.0,2.0,No,0,Unf,1405,0.0,478,RFn,2003.0,1405,Gd,3136,66.0,163.0,36,5,7,1405,0.0,2003,2003,171750
988,0.0,2.0,No,0,Unf,988,0.0,520,RFn,1954.0,988,TA,21750,100.0,0.0,0,5,5,988,0.0,1954,1954,113000
1014,685.0,3.0,Mn,440,BLQ,538,0.0,420,Unf,1920.0,1699,TA,10615,107.0,0.0,74,5,3,978,0.0,1900,1970,95000
1584,0.0,4.0,No,0,Unf,1584,0.0,792,Unf,1967.0,1584,TA,8944,65.0,0.0,152,5,5,1584,0.0,1967,1967,124000
2223,0.0,3.0,Gd,1880,ALQ,343,0.0,516,Fin,1973.0,2223,TA,13651,95.0,1115.0,0,6,7,2223,300.0,1973,1973,244000
838,0.0,2.0,Mn,210,Rec,0,0.0,275,Fin,1961.0,838,Fa,10267,55.0,0.0,0,7,6,816,0.0,1918,2000,130000
764,862.0,2.0,No,567,GLQ,197,0.0,474,RFn,2003.0,1626,Gd,2268,36.0,106.0,27,5,7,764,0.0,2003,2004,173000
798,842.0,3.0,No,0,Unf,798,0.0,520,RFn,2004.0,1640,Gd,8366,65.0,0.0,45,5,6,798,0.0,2004,2004,173000
1229,0.0,3.0,No,1059,ALQ,75,0.0,284,RFn,1956.0,1229,TA,17140,66.0,0.0,0,6,4,1134,0.0,1956,1956,135000
1724,0.0,3.0,Av,528,ALQ,1152,0.0,480,RFn,1967.0,1724,TA,17871,66.0,359.0,0,5,6,1680,0.0,1967,1976,197900
1541,0.0,3.0,Mn,1201,Unf,340,0.0,532,Unf,2005.0,1541,Gd,12182,95.0,226.0,70,5,7,1541,0.0,2005,2005,220000
1133,687.0,4.0,No,329,Rec,697,0.0,240,Unf,1925.0,1820,TA,9120,60.0,0.0,100,6,7,1026,0.0,1925,1950,184000
1496,0.0,3.0,Av,0,Unf,1496,0.0,474,Unf,2007.0,1496,Gd,9158,76.0,140.0,130,5,8,1496,0.0,2007,2007,225000
1844,0.0,3.0,No,705,BLQ,1139,0.0,546,RFn,1977.0,1844,TA,11751,105.0,480.0,122,6,6,1844,0.0,1977,1977,190000
520,623.0,2.0,No,0,Unf,600,0.0,480,RFn,2005.0,1223,Gd,2544,24.0,0.0,166,5,7,600,0.0,2005,2005,147400
1138,0.0,3.0,Av,507,GLQ,81,0.0,264,Unf,1958.0,1138,TA,10482,65.0,63.0,0,8,6,588,0.0,1958,1958,145000
803,0.0,2.0,Av,116,BLQ,604,244.0,360,Unf,1941.0,803,TA,5000,50.0,0.0,0,6,5,720,0.0,1941,1950,87000
833,0.0,3.0,No,625,Unf,208,0.0,0,None,1982.5,833,TA,8780,66.0,0.0,0,5,5,833,0.0,1985,1985,112000
1007,793.0,3.0,No,0,Unf,982,0.0,463,Fin,2000.0,1800,TA,8123,60.0,16.0,63,5,6,982,100.0,2000,2000,179000
1035,371.0,3.0,No,0,Unf,319,0.0,0,None,1982.5,1406,Fa,7920,66.0,0.0,144,7,6,319,0.0,1920,1950,89500
1064,703.0,2.0,No,495,GLQ,354,0.0,504,RFn,1987.0,1767,Gd,5306,44.0,0.0,35,7,7,1064,0.0,1987,1987,239000
1445,0.0,3.0,Gd,564,Unf,563,0.0,645,RFn,1964.0,1445,TA,12095,66.0,115.0,0,6,6,1127,0.0,1964,1964,158000
1234,0.0,3.0,Av,0,Unf,1234,0.0,484,RFn,2007.0,1234,Gd,11049,85.0,0.0,30,5,8,1234,0.0,2007,2007,179900
1425,0.0,3.0,No,490,Unf,935,0.0,576,RFn,1964.0,1425,TA,10175,100.0,272.0,0,5,6,1425,0.0,1964,1964,180500
970,0.0,2.0,No,630,GLQ,340,0.0,624,Unf,1996.0,970,TA,8480,80.0,0.0,24,6,5,970,0.0,1963,1963,132500
1053,795.0,4.0,No,0,Unf,833,0.0,370,Unf,1922.0,1848,Gd,13053,64.0,0.0,0,7,6,833,0.0,1923,2000,207000
1337,0.0,2.0,No,1201,GLQ,36,0.0,405,Fin,1998.0,1337,TA,4500,32.0,443.0,199,5,6,1237,0.0,1998,1998,153500
686,564.0,3.0,No,0,Unf,686,0.0,280,Unf,1955.0,1250,Fa,8248,45.0,0.0,0,7,5,686,0.0,1918,1950,116000
816,0.0,2.0,Mn,690,ALQ,126,0.0,288,Unf,1958.0,816,TA,8877,67.0,0.0,0,6,4,816,0.0,1938,1958,100000
1344,0.0,3.0,Gd,1309,GLQ,35,0.0,784,Fin,1997.0,1344,TA,7060,78.0,200.0,0,5,7,1344,0.0,1997,1998,206300
1298,1216.0,4.0,No,1216,LwQ,0,0.0,693,Fin,1990.0,2514,TA,11170,66.0,0.0,0,5,7,1216,0.0,1990,1991,250000
1824,0.0,2.0,Gd,1219,GLQ,424,0.0,739,Unf,1971.0,1824,Gd,115149,66.0,351.0,48,5,7,1643,0.0,1971,2002,302000
1090,0.0,2.0,No,980,ALQ,110,0.0,450,Fin,2005.0,1090,TA,7024,60.0,0.0,49,5,5,1090,0.0,2005,2006,157000
1922,0.0,3.0,Gd,1249,GLQ,673,0.0,676,Fin,2005.0,1922,Gd,14157,86.0,200.0,51,5,9,1922,0.0,2005,2006,377426
1001,1001.0,3.0,No,284,BLQ,717,0.0,871,Unf,1949.0,2002,TA,6270,82.0,0.0,0,6,5,1001,0.0,1949,1950,145000
630,672.0,3.0,No,0,Unf,630,0.0,280,Unf,1991.0,1302,TA,1680,21.0,142.0,0,5,5,630,0.0,1971,1971,112000
840,880.0,3.0,No,0,Unf,840,0.0,440,Fin,2004.0,1720,Gd,8244,62.0,0.0,48,5,7,840,0.0,2004,2004,183500
729,729.0,2.0,No,419,GLQ,310,0.0,440,Unf,1999.0,1458,TA,3230,34.0,1129.0,32,5,6,729,0.0,1999,1999,176000
1383,1015.0,3.0,No,719,Unf,660,0.0,834,Fin,1996.0,2398,Gd,11787,95.0,594.0,60,5,7,1379,0.0,1996,1997,315750
1721,0.0,3.0,No,570,Rec,891,0.0,440,RFn,1968.0,1721,TA,10335,78.0,0.0,96,6,5,1461,0.0,1968,1993,180000
1283,0.0,3.0,No,504,Rec,319,0.0,506,Unf,1980.0,1283,TA,7763,70.0,0.0,0,7,5,931,0.0,1962,1980,140000
1318,584.0,4.0,None,0,None,0,0.0,539,Unf,1978.0,1902,TA,8930,68.0,0.0,0,5,6,0,0.0,1978,1978,112000
1306,954.0,3.0,Gd,1201,GLQ,105,0.0,533,Unf,1996.0,2260,Gd,14000,80.0,0.0,44,5,7,1306,0.0,1996,1997,328000
1381,0.0,3.0,No,982,ALQ,179,0.0,676,Unf,1972.0,1381,Gd,9360,78.0,0.0,0,7,6,1161,0.0,1972,2006,197500
1200,0.0,3.0,No,334,ALQ,322,0.0,521,RFn,1995.0,1200,Gd,11249,105.0,0.0,26,5,6,1200,0.0,1995,1995,177500
1327,0.0,3.0,No,405,Rec,658,0.0,624,Unf,1974.0,1327,Gd,7388,75.0,0.0,0,6,5,1063,0.0,1959,2002,150750
923,0.0,2.0,No,543,BLQ,261,0.0,264,RFn,1980.0,923,TA,8012,50.0,0.0,0,5,6,923,0.0,1980,1980,143000
1192,403.0,2.0,No,388,LwQ,552,0.0,240,Unf,1940.0,1595,TA,8400,60.0,0.0,0,5,6,940,0.0,1940,2000,140000
1811,0.0,2.0,No,296,ALQ,230,0.0,470,Fin,1956.0,1811,Ex,14115,90.0,0.0,0,7,6,1073,0.0,1956,2004,230000
990,0.0,3.0,No,495,GLQ,495,0.0,299,Unf,1996.0,990,TA,8775,65.0,0.0,64,5,5,990,0.0,1994,1994,126000
1339,0.0,3.0,No,504,LwQ,525,0.0,294,Unf,1958.0,1339,TA,7560,70.0,0.0,0,6,5,1029,0.0,1958,1965,139000
1682,0.0,3.0,No,0,Unf,1304,0.0,530,Unf,1970.0,1682,TA,10400,80.0,288.0,0,6,7,1304,0.0,1970,1970,174000
824,1070.0,4.0,No,624,GLQ,193,0.0,510,Unf,2002.0,1894,Gd,11316,80.0,44.0,40,5,7,817,0.0,2002,2003,214900
1363,0.0,2.0,No,650,BLQ,178,0.0,288,Unf,1951.0,1363,TA,14559,75.0,70.0,42,7,5,1008,0.0,1951,2000,164900
1752,0.0,2.0,No,456,GLQ,1296,0.0,576,RFn,2005.0,1752,Ex,7658,61.0,412.0,82,5,9,1752,0.0,2005,2005,319900
948,0.0,3.0,No,0,Unf,948,0.0,300,Unf,1968.0,948,TA,8978,66.0,0.0,0,5,5,948,0.0,1968,1968,108000
1576,978.0,3.0,No,0,Unf,718,0.0,704,Unf,1996.0,2554,TA,10800,60.0,0.0,48,8,7,718,0.0,1890,1998,159500
1484,0.0,3.0,Av,712,GLQ,761,0.0,606,RFn,2004.0,1484,Gd,8400,70.0,109.0,35,5,7,1473,0.0,2004,2005,213000
1055,790.0,3.0,No,0,Unf,1055,0.0,462,RFn,1992.0,1845,Gd,11218,70.0,0.0,104,5,6,1055,0.0,1992,1992,189000
832,832.0,4.0,No,194,GLQ,638,0.0,528,RFn,1976.0,1664,TA,10140,78.0,0.0,28,5,7,832,0.0,1976,1976,162900
888,868.0,3.0,No,742,ALQ,130,0.0,422,Fin,1996.0,1756,TA,9303,66.0,42.0,122,5,6,872,0.0,1996,1997,204000
1061,862.0,3.0,No,674,GLQ,76,0.0,564,RFn,1992.0,1923,Gd,10186,107.0,0.0,39,5,7,750,0.0,1992,1992,190000
1072,0.0,2.0,Gd,547,GLQ,0,0.0,525,Fin,2005.0,1072,TA,3675,35.0,82.0,44,5,6,547,0.0,2005,2006,140000
1203,1323.0,4.0,No,740,GLQ,425,0.0,844,Unf,1994.0,2526,Gd,10120,92.0,391.0,78,5,8,1165,0.0,1994,1994,290000
864,864.0,3.0,No,503,Rec,361,0.0,673,RFn,2003.0,1728,Gd,8791,64.0,0.0,56,5,6,864,0.0,2003,2003,207500
1604,0.0,3.0,No,1334,GLQ,270,0.0,660,RFn,2006.0,1604,Gd,8814,68.0,180.0,110,5,7,1604,0.0,2006,2006,220000
804,744.0,3.0,No,556,Unf,248,0.0,440,Unf,1976.0,1548,Gd,2308,24.0,0.0,0,6,6,804,0.0,1976,1976,155000
1252,0.0,3.0,No,0,Unf,1252,0.0,528,Unf,1960.0,1252,Gd,10721,80.0,243.0,39,6,6,1252,0.0,1959,1959,142000
1391,0.0,2.0,Mn,16,Unf,1375,0.0,530,Unf,2004.0,1391,Gd,4282,59.0,0.0,158,5,7,1391,0.0,2004,2004,196000
1057,0.0,3.0,No,417,Rec,640,0.0,576,Fin,1977.0,1057,TA,7420,70.0,0.0,0,5,5,1057,0.0,1962,1962,132000
1466,1362.0,4.0,Gd,1150,GLQ,316,0.0,1052,RFn,2006.0,2828,Gd,9965,77.0,340.0,144,5,8,1466,0.0,2006,2007,424870
1656,0.0,4.0,No,0,Unf,1656,0.0,506,Unf,1973.0,1656,TA,9246,87.0,564.0,211,5,5,1656,0.0,1973,1973,135000
1012,778.0,4.0,No,247,Rec,485,0.0,484,RFn,1972.0,1790,TA,10400,80.0,288.0,0,5,6,732,0.0,1972,1972,165150
768,664.0,2.0,No,0,Unf,264,0.0,360,Unf,1910.0,1432,TA,9600,60.0,0.0,0,7,5,264,0.0,1910,2002,132000
1616,0.0,2.0,No,1180,GLQ,415,0.0,608,RFn,1995.0,1616,Gd,5389,39.0,0.0,152,5,8,1595,0.0,1995,1996,236500
1547,720.0,2.0,None,0,None,0,0.0,672,Unf,1979.0,2320,TA,14762,66.0,0.0,144,6,5,0,0.0,1948,1950,169000
1419,0.0,2.0,Av,945,Unf,474,0.0,567,RFn,2007.0,1419,Gd,8089,60.0,0.0,0,6,8,1419,0.0,2007,2007,392000
912,0.0,2.0,Av,773,GLQ,115,0.0,470,RFn,1978.0,912,TA,7540,66.0,0.0,0,6,6,888,0.0,1978,1978,156000
1062,887.0,3.0,No,750,GLQ,300,0.0,574,Fin,1993.0,1949,Gd,9938,80.0,246.0,90,5,7,1050,0.0,1993,1994,236000
1362,720.0,3.0,No,0,Unf,1362,0.0,484,Unf,2003.0,2082,Gd,11426,63.0,0.0,238,5,7,1362,0.0,2003,2003,200000
1194,0.0,3.0,No,0,Unf,1194,0.0,312,RFn,1959.0,1194,TA,8760,73.0,220.0,0,6,6,1194,0.0,1959,1959,148000
1040,0.0,2.0,None,0,None,0,0.0,400,Unf,1949.0,1040,TA,8544,66.0,340.0,0,4,3,0,0.0,1949,1950,87500
751,611.0,3.0,Mn,0,Unf,611,0.0,502,Fin,1920.0,1362,TA,6155,60.0,0.0,0,8,6,611,0.0,1920,1999,128000
1150,0.0,3.0,No,179,ALQ,465,0.0,300,RFn,1959.0,1150,TA,7945,70.0,0.0,0,6,5,1150,0.0,1959,1959,141000
1158,1218.0,4.0,Av,0,Unf,1158,0.0,853,RFn,2005.0,2376,Gd,14215,101.0,380.0,154,5,8,1158,240.0,2005,2006,325300
1188,0.0,3.0,No,1000,Rec,188,0.0,531,RFn,1959.0,1188,TA,12160,66.0,180.0,0,5,5,1188,0.0,1959,1959,142000
882,914.0,3.0,Mn,706,GLQ,88,0.0,546,RFn,1998.0,1796,TA,9531,66.0,0.0,36,5,6,794,0.0,1998,1998,211000
1132,0.0,2.0,No,1024,GLQ,108,0.0,451,Fin,2005.0,1132,Gd,7024,60.0,0.0,64,5,4,1132,0.0,2005,2005,176000
832,1103.0,3.0,No,544,GLQ,288,0.0,552,Fin,2009.0,1935,TA,8004,75.0,110.0,150,5,8,832,0.0,2009,2009,263435
788,0.0,2.0,No,266,Rec,522,0.0,0,None,1982.5,788,TA,7446,66.0,0.0,0,5,4,788,0.0,1941,1950,100000
790,0.0,2.0,Mn,384,Unf,384,0.0,160,Unf,1925.0,790,TA,6292,52.0,0.0,141,5,6,768,0.0,1930,1950,91000
1668,0.0,3.0,Av,370,BLQ,315,0.0,502,Fin,2003.0,1668,Gd,10635,48.0,171.0,262,5,8,1657,0.0,2003,2003,232000
1212,0.0,3.0,No,0,Unf,1212,0.0,573,RFn,2001.0,1212,Gd,9100,70.0,0.0,0,5,7,1212,0.0,2001,2001,178000
1507,0.0,4.0,No,666,ALQ,409,0.0,404,Unf,1960.0,1507,TA,7910,70.0,0.0,0,5,5,1075,0.0,1960,1960,127000
725,754.0,4.0,No,626,ALQ,99,0.0,484,Fin,1972.0,1479,Gd,7472,66.0,138.0,32,9,7,725,0.0,1972,2004,184000
616,495.0,3.0,Mn,236,LwQ,0,0.0,200,Unf,1941.0,1111,TA,9084,60.0,0.0,0,6,5,616,0.0,1941,1950,95000
928,0.0,3.0,No,308,Rec,620,0.0,288,Fin,1957.0,928,TA,6000,50.0,0.0,0,6,5,928,0.0,1957,1957,112500
