1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
979,979.0,4.0,3.0,484,5.0,495,492,3.0,1946.0,1958,3.0,7136,82.0,423.0,0,6,979,1946,1950,145000
1425,0.0,3.0,3.0,490,6.0,935,576,2.0,1964.0,1425,3.0,10175,100.0,272.0,0,5,1425,1964,1964,180500
1040,0.0,2.0,4.0,0,4.0,0,420,3.0,1956.0,1040,3.0,7200,60.0,0.0,0,5,0,1949,1950,90000
1682,0.0,3.0,3.0,0,6.0,1304,530,3.0,1970.0,1682,3.0,10400,80.0,288.0,0,6,1304,1970,1970,174000
1535,0.0,3.0,3.0,2,2.0,1515,532,2.0,2004.0,1535,2.0,10171,70.0,168.0,0,5,1517,2004,2004,214000
848,0.0,1.0,0.0,659,2.0,189,420,0.0,2003.0,848,2.0,4435,36.0,170.0,0,5,848,2003,2003,131500
923,0.0,2.0,3.0,543,1.0,261,264,2.0,1980.0,923,3.0,8012,50.0,0.0,0,5,923,1980,1980,143000
630,672.0,3.0,3.0,0,6.0,630,280,3.0,1991.0,1302,3.0,1680,21.0,142.0,0,5,630,1971,1971,112000
810,0.0,3.0,3.0,387,0.0,374,484,2.0,1992.0,1603,2.0,7153,65.0,0.0,124,5,761,1992,1992,175900
1158,0.0,3.0,3.0,941,0.0,217,576,3.0,2006.0,1158,2.0,13072,63.0,0.0,50,5,1158,2004,2004,158000
1092,0.0,3.0,3.0,170,3.0,252,288,3.0,1962.0,1092,3.0,11616,66.0,116.0,20,5,1092,1962,1962,139000
1680,0.0,3.0,3.0,808,2.0,72,540,0.0,1988.0,1680,2.0,21695,66.0,260.0,44,9,880,1988,2007,222000
1734,1088.0,3.0,1.0,0,6.0,1734,1020,2.0,2009.0,2822,0.0,13891,107.0,424.0,170,5,1734,2008,2009,582933
693,0.0,2.0,3.0,0,6.0,693,0,1.0,1982.5,693,1.0,4118,153.0,0.0,20,4,693,1941,1950,52500
1224,0.0,2.0,3.0,883,2.0,341,402,0.0,1999.0,1224,3.0,4500,66.0,425.0,304,5,1224,1999,1999,165000
1383,1015.0,3.0,3.0,719,6.0,660,834,0.0,1996.0,2398,2.0,11787,95.0,594.0,60,5,1379,1996,1997,315750
1500,0.0,3.0,0.0,1070,2.0,286,648,0.0,2006.0,1500,2.0,4045,53.0,45.0,20,5,1356,2006,2006,246578
1053,795.0,4.0,3.0,0,6.0,833,370,3.0,1922.0,1848,2.0,13053,64.0,0.0,0,7,833,1923,2000,207000
2898,0.0,2.0,0.0,1165,0.0,0,665,0.0,1976.0,2898,2.0,15498,66.0,0.0,72,6,1565,1976,1976,287000
1363,0.0,2.0,3.0,650,1.0,178,288,3.0,1951.0,1363,3.0,14559,75.0,70.0,42,7,1008,1951,2000,164900
1007,793.0,3.0,3.0,0,6.0,982,463,0.0,2000.0,1800,3.0,8123,60.0,16.0,63,5,982,2000,2000,179000
892,0.0,3.0,3.0,340,5.0,524,264,2.0,1966.0,892,3.0,9477,66.0,65.0,0,5,864,1966,1966,110000
1004,0.0,2.0,1.0,975,2.0,0,504,3.0,1977.0,1004,3.0,10530,78.0,90.0,0,5,975,1977,1977,135000
1466,1362.0,4.0,1.0,1150,2.0,316,1052,2.0,2006.0,2828,2.0,9965,77.0,340.0,144,5,1466,2006,2007,424870
900,0.0,3.0,2.0,234,6.0,180,576,3.0,2005.0,900,2.0,7200,60.0,0.0,32,7,900,1951,2000,134800
848,0.0,3.0,2.0,662,2.0,186,420,2.0,2004.0,848,2.0,4435,37.0,169.0,0,5,848,2004,2004,155900
802,670.0,3.0,3.0,0,6.0,384,402,2.0,1991.0,1472,2.0,10784,66.0,76.0,0,5,384,1991,1992,160000
768,664.0,2.0,3.0,0,6.0,264,360,3.0,1910.0,1432,3.0,9600,60.0,0.0,0,7,264,1910,2002,132000
988,0.0,2.0,3.0,0,6.0,988,520,2.0,1954.0,988,3.0,21750,100.0,0.0,0,5,988,1954,1954,113000
943,0.0,3.0,1.0,828,2.0,115,472,0.0,1998.0,1638,3.0,9042,59.0,0.0,38,5,943,1998,1998,192000
780,595.0,3.0,3.0,0,6.0,780,544,3.0,1979.0,1375,2.0,9000,50.0,0.0,162,6,780,1937,1950,141000
1922,0.0,3.0,1.0,1249,2.0,673,676,0.0,2005.0,1922,2.0,14157,86.0,200.0,51,5,1922,2005,2006,377426
1072,0.0,2.0,1.0,547,2.0,0,525,0.0,2005.0,1072,3.0,3675,35.0,82.0,44,5,547,2005,2006,140000
1536,0.0,3.0,0.0,810,2.0,726,532,2.0,2002.0,1536,2.0,9135,70.0,113.0,74,5,1536,2002,2003,214000
896,896.0,4.0,3.0,0,6.0,896,0,1.0,1982.5,1792,3.0,9000,60.0,0.0,45,5,896,1974,1974,136000
855,0.0,3.0,3.0,566,0.0,289,440,3.0,1976.0,1456,3.0,2280,24.0,0.0,0,6,855,1976,1976,148500
1600,0.0,3.0,3.0,0,6.0,1566,890,2.0,2007.0,1600,2.0,14230,110.0,640.0,56,5,1566,2007,2007,256300
910,0.0,4.0,3.0,507,5.0,403,720,3.0,2000.0,1385,3.0,8520,71.0,0.0,0,4,910,1952,1952,166000
833,0.0,3.0,3.0,625,6.0,208,0,1.0,1982.5,833,3.0,8780,66.0,0.0,0,5,833,1985,1985,112000
1506,0.0,2.0,1.0,16,2.0,1346,440,3.0,2005.0,1506,2.0,3013,43.0,145.0,20,5,1362,2005,2005,213490
1752,0.0,2.0,3.0,456,2.0,1296,576,2.0,2005.0,1752,0.0,7658,61.0,412.0,82,5,1752,2005,2005,319900
767,0.0,1.0,0.0,584,2.0,0,367,0.0,1998.0,767,3.0,4058,34.0,182.0,40,5,723,1998,1998,133000
1717,0.0,3.0,0.0,0,6.0,1709,908,2.0,2006.0,1717,2.0,11146,87.0,250.0,39,5,1709,2006,2006,255500
672,728.0,3.0,3.0,209,0.0,463,440,0.0,1978.0,1400,3.0,7844,74.0,203.0,0,7,672,1978,1978,149500
774,456.0,3.0,3.0,384,0.0,363,305,3.0,1946.0,1230,3.0,4712,51.0,0.0,57,7,747,1946,1950,121600
1077,0.0,3.0,3.0,0,6.0,1007,210,3.0,1922.0,1077,3.0,9786,60.0,0.0,100,4,1007,1922,1950,91000
1567,0.0,1.0,0.0,1154,2.0,366,648,0.0,2006.0,1567,0.0,3982,53.0,0.0,0,5,1520,2006,2006,264561
764,862.0,2.0,3.0,567,2.0,197,474,2.0,2003.0,1626,2.0,2268,36.0,106.0,27,5,764,2003,2004,173000
979,224.0,3.0,3.0,185,3.0,524,352,3.0,1950.0,1203,2.0,7015,66.0,161.0,0,4,709,1950,1950,110000
1541,0.0,3.0,2.0,1201,6.0,340,532,3.0,2005.0,1541,2.0,12182,95.0,226.0,70,5,1541,2005,2005,220000
1062,887.0,3.0,3.0,750,2.0,300,574,0.0,1993.0,1949,2.0,9938,80.0,246.0,90,5,1050,1993,1994,236000
1547,720.0,2.0,4.0,0,4.0,0,672,3.0,1979.0,2320,3.0,14762,66.0,0.0,144,6,0,1948,1950,169000
1844,0.0,3.0,3.0,705,1.0,1139,546,2.0,1977.0,1844,3.0,11751,105.0,480.0,122,6,1844,1977,1977,190000
1604,0.0,3.0,3.0,1334,2.0,270,660,2.0,2006.0,1604,2.0,8814,68.0,180.0,110,5,1604,2006,2006,220000
1180,0.0,2.0,3.0,0,6.0,700,252,3.0,1922.0,1180,1.0,11600,80.0,0.0,0,5,700,1922,1950,137500
728,728.0,3.0,0.0,0,6.0,728,400,0.0,2007.0,1456,2.0,9018,65.0,0.0,24,5,728,2007,2007,179540
832,1103.0,3.0,3.0,544,2.0,288,552,0.0,2009.0,1935,3.0,8004,75.0,110.0,150,5,832,2009,2009,263435
1381,0.0,3.0,3.0,982,0.0,179,676,3.0,1972.0,1381,2.0,9360,78.0,0.0,0,7,1161,1972,2006,197500
932,920.0,3.0,3.0,822,2.0,78,644,2.0,2009.0,1852,2.0,8640,72.0,0.0,108,5,900,2009,2009,252678
1687,0.0,3.0,0.0,353,1.0,60,572,3.0,1966.0,1687,3.0,57200,66.0,0.0,0,5,747,1948,1950,160000
1082,0.0,2.0,3.0,336,1.0,746,240,3.0,1948.0,1082,3.0,11664,60.0,206.0,130,5,1082,1948,1950,119200
1097,0.0,3.0,3.0,0,6.0,1097,672,3.0,1995.0,1097,3.0,10859,112.0,0.0,64,5,1097,1994,1995,145000
874,650.0,3.0,3.0,460,1.0,414,315,3.0,1958.0,1524,3.0,11344,78.0,180.0,0,5,874,1958,1958,144000
1405,0.0,2.0,3.0,0,6.0,1405,478,2.0,2003.0,1405,2.0,3136,66.0,163.0,36,5,1405,2003,2003,171750
798,546.0,3.0,3.0,0,6.0,546,0,1.0,1982.5,1344,3.0,1533,21.0,0.0,0,6,546,1970,2008,97000
1298,1216.0,4.0,3.0,1216,3.0,0,693,0.0,1990.0,2514,3.0,11170,66.0,0.0,0,5,1216,1990,1991,250000
480,0.0,3.0,0.0,50,1.0,430,308,3.0,1958.0,480,3.0,9000,50.0,0.0,0,3,480,1949,1950,35311
1584,0.0,4.0,3.0,0,6.0,1584,792,3.0,1967.0,1584,3.0,8944,65.0,0.0,152,5,1584,1967,1967,124000
1557,0.0,2.0,1.0,0,6.0,1374,420,0.0,2003.0,1557,2.0,3196,66.0,18.0,20,5,1374,2003,2004,234000
1724,0.0,3.0,0.0,528,0.0,1152,480,2.0,1967.0,1724,3.0,17871,66.0,359.0,0,5,1680,1967,1976,197900
1097,0.0,3.0,3.0,338,2.0,702,480,3.0,1986.0,1097,3.0,9672,81.0,0.0,0,5,1040,1984,1985,152000
1082,871.0,3.0,2.0,0,6.0,1082,1043,2.0,2005.0,1953,2.0,10574,85.0,0.0,50,5,1082,2005,2006,252000
1391,0.0,2.0,2.0,16,6.0,1375,530,3.0,2004.0,1391,2.0,4282,59.0,0.0,158,5,1391,2004,2004,196000
1008,0.0,2.0,3.0,486,1.0,522,275,3.0,1954.0,1008,3.0,11425,66.0,0.0,0,6,1008,1954,1954,137000
1086,809.0,3.0,3.0,0,6.0,712,409,0.0,1994.0,1895,2.0,10832,66.0,0.0,46,5,712,1994,1996,194500
1265,0.0,3.0,1.0,633,0.0,586,502,2.0,1965.0,1265,2.0,9350,85.0,0.0,92,8,1219,1965,1999,179900
630,0.0,3.0,0.0,515,2.0,115,286,3.0,1970.0,630,2.0,1526,21.0,0.0,0,8,630,1970,2002,86000
1150,0.0,3.0,3.0,179,0.0,465,300,2.0,1959.0,1150,3.0,7945,70.0,0.0,0,6,1150,1959,1959,141000
1663,0.0,2.0,1.0,1116,1.0,248,529,3.0,1954.0,1663,2.0,53227,66.0,0.0,137,6,1364,1954,1994,256000
1060,764.0,3.0,3.0,0,6.0,764,520,3.0,1940.0,1824,3.0,13515,60.0,0.0,0,6,764,1919,1950,180500
1095,0.0,2.0,1.0,513,0.0,75,264,3.0,1958.0,1095,3.0,10382,75.0,105.0,0,5,588,1958,1958,140000
838,0.0,2.0,2.0,210,5.0,0,275,0.0,1961.0,838,1.0,10267,55.0,0.0,0,7,816,1918,2000,130000
1622,0.0,3.0,0.0,1159,1.0,90,1356,0.0,1975.0,1622,3.0,32463,66.0,149.0,0,4,1249,1961,1975,168000
847,1081.0,4.0,3.0,0,6.0,847,434,0.0,2003.0,1928,2.0,8200,65.0,0.0,48,5,847,2003,2004,219500
1092,0.0,3.0,3.0,787,5.0,305,504,2.0,1964.0,1092,3.0,8250,75.0,260.0,0,7,1092,1964,1964,145000
778,798.0,3.0,3.0,0,6.0,770,614,2.0,2006.0,1576,2.0,8125,65.0,0.0,50,5,770,2006,2006,197000
988,0.0,3.0,3.0,827,5.0,161,572,3.0,1963.0,988,3.0,9945,66.0,57.0,0,5,988,1961,1961,128500
684,512.0,3.0,2.0,0,6.0,684,528,3.0,2005.0,1196,2.0,12354,67.0,0.0,46,8,684,1920,2000,110000
1320,1320.0,4.0,3.0,0,6.0,1240,864,3.0,1950.0,2640,2.0,11700,65.0,0.0,0,7,1240,1880,2003,265979
1132,0.0,2.0,3.0,1024,2.0,108,451,0.0,2005.0,1132,2.0,7024,60.0,0.0,64,5,1132,2005,2005,176000
679,504.0,2.0,3.0,331,0.0,318,308,3.0,1981.0,1183,3.0,6000,50.0,0.0,176,7,649,1948,2002,120000
1656,0.0,4.0,3.0,0,6.0,1656,506,3.0,1973.0,1656,3.0,9246,87.0,564.0,211,5,1656,1973,1973,135000
1422,0.0,3.0,0.0,0,6.0,1422,626,2.0,2004.0,1422,2.0,8500,63.0,106.0,60,5,1422,2004,2004,179600
1096,895.0,3.0,2.0,297,5.0,0,432,3.0,1977.0,1991,3.0,11275,66.0,480.0,0,7,854,1932,1950,220000
1668,0.0,3.0,0.0,1059,2.0,567,702,3.0,2002.0,1668,2.0,11248,90.0,215.0,45,5,1626,2002,2002,285000
1026,932.0,3.0,3.0,0,6.0,1026,936,0.0,2005.0,1958,2.0,10625,85.0,0.0,210,5,1026,2005,2005,250000
1306,954.0,3.0,1.0,1201,2.0,105,533,3.0,1996.0,2260,2.0,14000,80.0,0.0,44,5,1306,1996,1997,328000
672,0.0,2.0,4.0,0,4.0,0,0,1.0,1982.5,912,3.0,6240,52.0,0.0,0,5,0,1947,1950,80500
1229,0.0,3.0,3.0,1059,0.0,75,284,2.0,1956.0,1229,3.0,17140,66.0,0.0,0,6,1134,1956,1956,135000
1012,778.0,4.0,3.0,247,5.0,485,484,2.0,1972.0,1790,3.0,10400,80.0,288.0,0,5,732,1972,1972,165150
1040,0.0,3.0,2.0,532,3.0,364,484,3.0,1977.0,1040,2.0,8800,61.0,0.0,0,7,1040,1977,2008,150500
720,0.0,2.0,3.0,495,5.0,225,0,1.0,1982.5,720,3.0,7879,60.0,0.0,523,5,720,1920,1950,34900
796,358.0,3.0,3.0,735,1.0,61,240,3.0,1922.0,1154,2.0,5436,40.0,0.0,96,8,796,1922,2007,125500
1700,0.0,4.0,3.0,1018,5.0,380,447,2.0,1959.0,1700,2.0,10552,70.0,0.0,38,5,1398,1959,1959,165500
1301,0.0,2.0,2.0,405,3.0,740,440,3.0,1965.0,1301,1.0,6911,60.0,0.0,0,5,1145,1924,1950,100000
912,0.0,2.0,3.0,456,5.0,456,275,2.0,1958.0,912,3.0,10150,70.0,1.0,0,5,912,1958,1958,114500
920,866.0,3.0,2.0,486,2.0,434,608,2.0,2001.0,1786,2.0,11250,68.0,162.0,42,5,920,2001,2002,223500
804,744.0,3.0,3.0,556,6.0,248,440,3.0,1976.0,1548,2.0,2308,24.0,0.0,0,6,804,1976,1976,155000
1518,1518.0,4.0,2.0,0,6.0,1107,840,3.0,1993.0,3608,0.0,22950,90.0,0.0,260,9,1107,1892,1993,475000
936,780.0,6.0,3.0,210,6.0,570,0,1.0,1982.5,1716,1.0,5687,55.0,0.0,184,6,780,1912,2000,135900
1212,0.0,3.0,3.0,0,6.0,1212,573,2.0,2001.0,1212,2.0,9100,70.0,0.0,0,5,1212,2001,2001,178000
864,0.0,2.0,3.0,203,5.0,661,200,3.0,1938.0,864,3.0,8212,45.0,0.0,0,3,864,1914,1950,58500
876,540.0,4.0,2.0,0,6.0,876,720,3.0,1949.0,1416,3.0,12665,100.0,0.0,0,8,876,1915,1950,153900
1122,1121.0,4.0,3.0,700,0.0,0,746,2.0,1990.0,2243,2.0,13474,116.0,246.0,44,5,700,1990,1991,225000
952,0.0,2.0,2.0,852,0.0,100,840,3.0,1988.0,952,3.0,7350,60.0,0.0,0,7,952,1951,1951,139000
860,0.0,2.0,0.0,672,0.0,168,528,3.0,1996.0,860,3.0,8740,74.0,0.0,0,6,840,1982,1982,137000
1008,0.0,4.0,3.0,0,6.0,1008,0,1.0,1982.5,1522,3.0,6000,60.0,0.0,0,5,1008,1926,1950,102000
1987,0.0,2.0,1.0,1314,2.0,672,691,0.0,1994.0,1987,2.0,14303,91.0,554.0,36,5,1986,1994,1994,301500
880,888.0,2.0,2.0,390,6.0,490,320,3.0,1914.0,1768,3.0,10800,60.0,0.0,341,7,880,1914,1970,163000
1200,0.0,3.0,3.0,334,0.0,322,521,2.0,1995.0,1200,2.0,11249,105.0,0.0,26,5,1200,1995,1995,177500
1001,1001.0,3.0,3.0,284,1.0,717,871,3.0,1949.0,2002,3.0,6270,82.0,0.0,0,6,1001,1949,1950,145000
1575,0.0,3.0,3.0,430,2.0,1145,529,2.0,1992.0,1575,2.0,8012,50.0,0.0,0,5,1575,1992,1992,179200
1194,0.0,3.0,3.0,0,6.0,1194,312,2.0,1959.0,1194,3.0,8760,73.0,220.0,0,6,1194,1959,1959,148000
1234,0.0,3.0,0.0,0,6.0,1234,484,2.0,2007.0,1234,2.0,11049,85.0,0.0,30,5,1234,2007,2007,179900
2046,0.0,3.0,2.0,0,6.0,2046,834,0.0,2008.0,2046,2.0,11844,80.0,464.0,82,5,2046,2008,2008,372500
798,842.0,3.0,3.0,0,6.0,798,520,2.0,2004.0,1640,2.0,8366,65.0,0.0,45,5,798,2004,2004,173000
970,0.0,2.0,3.0,630,2.0,340,624,3.0,1996.0,970,3.0,8480,80.0,0.0,24,6,970,1963,1963,132500
1824,0.0,2.0,1.0,1219,2.0,424,739,3.0,1971.0,1824,2.0,115149,66.0,351.0,48,5,1643,1971,2002,302000
649,668.0,3.0,3.0,0,6.0,649,250,3.0,1920.0,1317,3.0,8500,50.0,0.0,54,4,649,1920,1950,40000
1035,371.0,3.0,3.0,0,6.0,319,0,1.0,1982.5,1406,1.0,7920,66.0,0.0,144,7,319,1920,1950,89500
1660,0.0,3.0,2.0,1220,2.0,440,500,2.0,2006.0,1660,2.0,10182,85.0,420.0,50,5,1660,2006,2006,290000
1252,0.0,3.0,3.0,0,6.0,1252,528,3.0,1960.0,1252,2.0,10721,80.0,243.0,39,6,1252,1959,1959,142000
725,754.0,3.0,3.0,533,2.0,192,475,2.0,1976.0,1479,2.0,13517,66.0,289.0,44,8,725,1976,2005,130500
882,914.0,3.0,2.0,706,2.0,88,546,2.0,1998.0,1796,3.0,9531,66.0,0.0,36,5,794,1998,1998,211000
825,0.0,2.0,3.0,180,3.0,0,720,2.0,1963.0,825,3.0,8235,49.0,0.0,50,7,825,1955,1995,125000
1124,0.0,3.0,4.0,0,6.0,0,0,1.0,1982.5,1124,3.0,8335,77.0,0.0,36,5,0,1954,1954,93000
1001,634.0,2.0,3.0,0,6.0,485,255,3.0,1950.0,1635,2.0,5310,59.0,0.0,0,8,485,1910,2003,117000
1152,0.0,3.0,3.0,0,6.0,1092,300,3.0,1950.0,1152,2.0,14000,80.0,0.0,36,8,1092,1950,2004,158500
1064,703.0,2.0,3.0,495,2.0,354,504,2.0,1987.0,1767,2.0,5306,44.0,0.0,35,7,1064,1987,1987,239000
1734,0.0,3.0,0.0,1300,2.0,434,660,3.0,2005.0,1734,2.0,11645,78.0,0.0,24,5,1734,2005,2005,260000
811,576.0,3.0,3.0,0,6.0,811,256,3.0,1954.0,1387,2.0,6000,50.0,0.0,0,4,811,1954,1954,93000
1318,584.0,4.0,4.0,0,4.0,0,539,3.0,1978.0,1902,3.0,8930,68.0,0.0,0,5,0,1978,1978,112000
1192,403.0,2.0,3.0,388,3.0,552,240,3.0,1940.0,1595,3.0,8400,60.0,0.0,0,5,940,1940,2000,140000
1630,0.0,3.0,3.0,0,6.0,1630,451,3.0,2000.0,1630,2.0,9750,75.0,171.0,234,5,1630,2000,2001,213000
742,742.0,3.0,3.0,0,6.0,742,390,0.0,2005.0,1484,2.0,12589,149.0,0.0,24,5,742,2005,2005,174000
1120,1120.0,6.0,4.0,0,4.0,0,528,3.0,1979.0,2240,3.0,7018,64.0,0.0,0,5,0,1979,1979,142953
1652,0.0,2.0,1.0,1480,2.0,120,482,3.0,2008.0,1652,2.0,5587,64.0,186.0,53,5,1600,2008,2008,392500
909,807.0,2.0,3.0,0,6.0,880,512,2.0,1996.0,1716,2.0,8750,70.0,0.0,120,5,880,1996,1996,191000
1445,0.0,3.0,1.0,564,6.0,563,645,2.0,1964.0,1445,3.0,12095,66.0,115.0,0,6,1127,1964,1964,158000
1728,0.0,6.0,3.0,40,2.0,1424,352,3.0,2002.0,1728,3.0,10624,66.0,84.0,0,4,1728,1964,1964,119000
948,0.0,3.0,3.0,0,6.0,948,300,3.0,1968.0,948,3.0,8978,66.0,0.0,0,5,948,1968,1968,108000
1811,0.0,2.0,3.0,296,0.0,230,470,0.0,1956.0,1811,0.0,14115,90.0,0.0,0,7,1073,1956,2004,230000
1040,0.0,3.0,1.0,633,0.0,431,648,3.0,1963.0,1040,3.0,25286,94.0,0.0,0,5,1064,1963,1963,132250
807,702.0,3.0,3.0,0,6.0,783,393,0.0,2003.0,1509,2.0,7875,63.0,0.0,75,5,783,2003,2003,180000
1094,761.0,3.0,3.0,0,6.0,528,512,2.0,1976.0,1855,3.0,9600,80.0,360.0,100,7,528,1976,1994,187000
990,0.0,3.0,3.0,686,2.0,304,672,3.0,1996.0,990,3.0,9245,57.0,0.0,0,5,990,1994,1995,145000
799,772.0,3.0,3.0,0,6.0,799,380,2.0,1993.0,1571,3.0,7837,59.0,0.0,40,7,799,1993,1994,178000
1004,848.0,3.0,2.0,668,2.0,336,660,0.0,1999.0,1852,2.0,9066,73.0,320.0,106,5,1004,1999,2000,230000
1090,0.0,2.0,3.0,980,0.0,110,450,0.0,2005.0,1090,3.0,7024,60.0,0.0,49,5,1090,2005,2006,157000
790,0.0,2.0,2.0,384,6.0,384,160,3.0,1925.0,790,3.0,6292,52.0,0.0,141,5,768,1930,1950,91000
686,564.0,3.0,3.0,0,6.0,686,280,3.0,1955.0,1250,1.0,8248,45.0,0.0,0,7,686,1918,1950,116000
1337,0.0,2.0,3.0,1201,2.0,36,405,0.0,1998.0,1337,3.0,4500,32.0,443.0,199,5,1237,1998,1998,153500
928,0.0,3.0,3.0,308,5.0,620,288,0.0,1957.0,928,3.0,6000,50.0,0.0,0,6,928,1957,1957,112500
980,734.0,3.0,3.0,394,6.0,586,496,3.0,1988.0,1714,3.0,10421,80.0,42.0,66,5,980,1988,1988,196500
1350,0.0,3.0,1.0,624,2.0,288,520,2.0,1964.0,1350,3.0,9020,82.0,259.0,0,5,1248,1964,1964,168500
1668,0.0,3.0,0.0,370,1.0,315,502,0.0,2003.0,1668,2.0,10635,48.0,171.0,262,5,1657,2003,2003,232000
616,495.0,3.0,2.0,236,3.0,0,200,3.0,1941.0,1111,3.0,9084,60.0,0.0,0,6,616,1941,1950,95000
1133,687.0,4.0,3.0,329,5.0,697,240,3.0,1925.0,1820,3.0,9120,60.0,0.0,100,6,1026,1925,1950,184000
1163,511.0,4.0,2.0,0,6.0,1163,396,0.0,1955.0,1674,3.0,21780,66.0,0.0,36,7,1163,1918,1950,185000
1158,1218.0,4.0,0.0,0,6.0,1158,853,2.0,2005.0,2376,2.0,14215,101.0,380.0,154,5,1158,2005,2006,325300
885,833.0,3.0,3.0,0,6.0,832,427,0.0,1998.0,1718,3.0,10141,74.0,40.0,94,5,832,1998,1998,185000
720,0.0,2.0,3.0,0,6.0,624,484,3.0,2005.0,720,3.0,8520,60.0,0.0,0,8,624,1928,2003,105900
334,0.0,1.0,4.0,0,4.0,0,0,1.0,1982.5,334,1.0,5000,50.0,0.0,0,3,0,1946,1950,39300
760,896.0,3.0,3.0,0,6.0,746,397,0.0,2003.0,1656,2.0,6931,60.0,92.0,128,5,746,2003,2004,165400
1103,0.0,2.0,3.0,397,1.0,706,440,3.0,1976.0,1103,2.0,6000,50.0,0.0,120,6,1103,1925,1980,110500
920,941.0,3.0,3.0,700,2.0,216,492,2.0,2002.0,1861,2.0,13450,95.0,0.0,91,5,916,2002,2002,200000
1419,0.0,2.0,0.0,945,6.0,474,567,2.0,2007.0,1419,2.0,8089,60.0,0.0,0,6,1419,2007,2007,392000
1226,592.0,4.0,3.0,224,3.0,816,240,3.0,1951.0,1818,3.0,7758,66.0,600.0,0,4,1040,1931,1950,169500
1114,0.0,3.0,3.0,646,2.0,468,576,3.0,2004.0,1114,2.0,13695,66.0,0.0,102,5,1114,2004,2004,159000
2020,0.0,3.0,3.0,1436,2.0,570,900,0.0,2009.0,2020,0.0,12220,94.0,305.0,54,5,2006,2009,2009,402861
1225,0.0,3.0,3.0,569,0.0,381,0,1.0,1982.5,1225,3.0,9320,77.0,0.0,0,5,950,1959,1959,128950
684,684.0,3.0,3.0,0,6.0,684,216,3.0,1930.0,1368,3.0,3600,60.0,0.0,158,7,684,1910,1993,114504
999,0.0,3.0,0.0,784,1.0,141,300,3.0,1962.0,999,3.0,10205,69.0,0.0,72,5,925,1962,1962,134500
1518,0.0,1.0,1.0,1218,2.0,300,588,2.0,2003.0,1518,0.0,12677,62.0,472.0,140,5,1518,2003,2004,274000
1844,0.0,2.0,3.0,976,2.0,868,620,0.0,2005.0,1844,2.0,10994,88.0,366.0,44,5,1844,2005,2006,257000
966,686.0,4.0,3.0,686,3.0,0,416,3.0,1961.0,1652,3.0,10800,60.0,0.0,0,6,686,1915,1950,139000
1349,0.0,3.0,3.0,0,6.0,1349,539,3.0,2000.0,1349,3.0,8450,65.0,108.0,55,5,1349,2000,2001,179000
